0, 0, Header, 1, 5, 240
1, 0, Start_track
1, 0, MIDI_port, 0
1, 0, System_exclusive, 5, 126, 127, 9, 1, 247
1, 0, MIDI_port, 0
1, 0, Time_signature, 6, 3, 12, 8
1, 0, Key_signature, -4, "major"
1, 0, Tempo, 529708
1, 0, Marker_t, "Allegro, molto agitato"
1, 840, Tempo, 512033
1, 900, Tempo, 556225
1, 960, Tempo, 538600
1, 1020, Tempo, 494438
1, 1080, Tempo, 556225
1, 1140, Tempo, 520969
1, 1200, Tempo, 538600
1, 1260, Tempo, 503187
1, 1320, Tempo, 529708
1, 1380, Tempo, 538600
1, 1440, Tempo, 547445
1, 1500, Tempo, 529708
1, 1560, Tempo, 512033
1, 1620, Tempo, 547445
1, 1680, Tempo, 538600
1, 1740, Tempo, 520969
1, 1800, Tempo, 538600
1, 1860, Tempo, 529708
1, 1920, Tempo, 512033
1, 1980, Tempo, 529708
1, 2040, Tempo, 512033
1, 2100, Tempo, 547445
1, 2160, Tempo, 538600
1, 2280, Tempo, 520969
1, 2340, Tempo, 512033
1, 2400, Tempo, 538600
1, 2460, Tempo, 529708
1, 2580, Tempo, 547445
1, 2640, Tempo, 512033
1, 2760, Tempo, 556225
1, 2820, Tempo, 520969
1, 2880, Tempo, 538600
1, 2940, Tempo, 529708
1, 3000, Tempo, 538600
1, 3060, Tempo, 529708
1, 3120, Tempo, 520969
1, 3180, Tempo, 512033
1, 3240, Tempo, 529708
1, 3300, Tempo, 520969
1, 3360, Tempo, 556225
1, 3420, Tempo, 503187
1, 3480, Tempo, 565025
1, 3540, Tempo, 529708
1, 3600, Tempo, 520969
1, 3660, Tempo, 538600
1, 3720, Tempo, 503187
1, 3780, Tempo, 556225
1, 3840, Tempo, 494438
1, 3900, Tempo, 538600
1, 3960, Tempo, 520969
1, 4020, Tempo, 556225
1, 4080, Tempo, 512033
1, 4140, Tempo, 538600
1, 4260, Tempo, 520969
1, 4320, Tempo, 512033
1, 4380, Tempo, 547445
1, 4500, Tempo, 520969
1, 4620, Tempo, 547445
1, 4680, Tempo, 529708
1, 4740, Tempo, 512033
1, 4860, Tempo, 529708
1, 4920, Tempo, 556225
